iter	Passed	Remaining
0	129	129582
1	132	66033
2	135	45084
3	140	34962
4	145	28869
5	148	24624
6	155	22065
7	160	19901
8	165	18219
9	170	16841
10	175	15763
11	180	14822
12	185	14066
13	188	13272
14	192	12663
15	197	12168
16	201	11648
17	205	11188
18	208	10763
19	211	10376
20	214	9981
21	215	9594
22	217	9254
23	219	8940
24	221	8639
25	223	8356
26	224	8093
27	225	7838
28	226	7599
29	228	7376
30	228	7155
31	229	6949
32	230	6762
33	231	6579
34	232	6404
35	233	6240
36	233	6085
37	234	5936
38	235	5795
39	235	5662
40	236	5534
41	237	5414
42	238	5297
43	238	5184
44	239	5082
45	240	4984
46	241	4891
47	242	4802
48	242	4713
49	243	4627
50	244	4543
51	244	4462
52	245	4384
53	246	4309
54	246	4238
55	247	4168
56	248	4103
57	248	4039
58	249	3976
59	249	3915
60	250	3856
61	251	3799
62	251	3744
63	252	3689
64	252	3638
65	253	3589
66	254	3542
67	254	3493
68	255	3451
69	256	3409
70	257	3367
71	258	3325
72	258	3285
73	259	3245
74	259	3206
75	260	3169
76	261	3131
77	261	3095
78	262	3060
79	263	3025
80	263	2991
81	264	2958
82	264	2926
83	265	2895
84	265	2862
85	266	2833
86	267	2802
87	267	2774
88	268	2749
89	270	2731
90	271	2708
91	272	2685
92	272	2661
93	273	2636
94	274	2612
95	274	2588
96	275	2564
97	276	2541
98	276	2518
99	277	2496
100	278	2476
101	278	2452
102	279	2431
103	279	2410
104	280	2390
105	281	2370
106	281	2350
107	282	2331
108	282	2312
109	283	2294
110	284	2277
111	285	2262
112	286	2245
113	286	2229
114	287	2213
115	288	2196
116	288	2179
117	289	2162
118	289	2146
119	290	2131
120	291	2116
121	291	2101
122	292	2083
123	292	2068
124	293	2054
125	294	2039
126	294	2025
127	295	2010
128	295	1996
129	296	1984
130	297	1971
131	297	1958
132	298	1945
133	299	1932
134	299	1920
135	300	1909
136	301	1898
137	301	1886
138	302	1876
139	303	1865
140	304	1855
141	305	1844
142	305	1832
143	306	1821
144	307	1810
145	307	1800
146	308	1790
147	309	1779
148	309	1769
149	310	1758
150	310	1748
151	311	1738
152	312	1728
153	312	1718
154	313	1708
155	314	1699
156	315	1695
157	316	1687
158	317	1679
159	318	1671
160	319	1662
161	319	1654
162	320	1646
163	321	1637
164	321	1629
165	322	1620
166	323	1611
167	323	1603
168	324	1595
169	325	1586
170	325	1579
171	326	1572
172	327	1564
173	327	1556
174	328	1548
175	329	1540
176	329	1532
177	330	1525
178	331	1519
179	332	1512
180	332	1504
181	333	1497
182	334	1491
183	334	1484
184	335	1476
185	335	1469
186	336	1462
187	337	1455
188	337	1449
189	338	1442
190	339	1437
191	340	1431
